Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2023,AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,566,8.7,7.8,9.7,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"02",BO1,CAT1,DIABETE4,RESP046,"    (64.84507995700051, -147.72205903599973)"
2023,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,852,15.7,14.4,17.0,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"01",BO1,CAT1,DIABETE4,RESP046,"    (32.84057112200048, -86.63186076199969)"
2023,AR,Arkansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,938,14.5,13.4,15.7,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"05",BO1,CAT1,DIABETE4,RESP046,"    (34.74865012400045, -92.27449074299966)"
2023,AZ,Arizona,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,689",11.4,10.6,12.2,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"04",BO1,CAT1,DIABETE4,RESP046,"    (34.865970280000454, -111.76381127699972)"
2023,CA,California,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,482",11.5,10.6,12.4,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"06",BO1,CAT1,DIABETE4,RESP046,"    (37.63864012300047, -120.99999953799971)"
2023,CO,Colorado,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,817,8.6,7.9,9.4,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"08",BO1,CAT1,DIABETE4,RESP046,"    (38.843840757000464, -106.13361092099967)"
2023,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,064",9.9,8.9,10.9,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,"09",BO1,CAT1,DIABETE4,RESP046,"    (41.56266102000046, -72.64984095199964)"
2023,DC,District of Columbia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,326,7.4,6.3,8.5,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,11,BO1,CAT1,DIABETE4,RESP046,"    (38.89037138500049, -77.03196112699965)"
2023,DE,Delaware,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,665,13.3,11.9,14.8,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,10,BO1,CAT1,DIABETE4,RESP046,"    (39.008830667000495, -75.57774116799965)"
2023,FL,Florida,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"2,122",12.5,11.4,13.7,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,12,BO1,CAT1,DIABETE4,RESP046,"    (28.932040377000476, -81.92896053899966)"
2023,GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,420",12.7,11.8,13.7,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,13,BO1,CAT1,DIABETE4,RESP046,"    (32.83968109300048, -83.62758034599966)"
2023,GU,Guam,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,299,16.4,13.5,19.2,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,66,BO1,CAT1,DIABETE4,RESP046,"    (13.444304, 144.793731)"
2023,HI,Hawaii,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,985,11.3,10.2,12.3,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,15,BO1,CAT1,DIABETE4,RESP046,"    (21.304850435000446, -157.85774940299973)"
2023,IA,Iowa,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,200",11.3,10.6,12.1,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,19,BO1,CAT1,DIABETE4,RESP046,"    (42.46940091300047, -93.81649055599968)"
2023,ID,Idaho,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,756,9.8,8.9,10.7,889,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC18,16,BO1,CAT1,DIABETE4,RESP046,"    (43.682630005000476, -114.3637300419997)"
